repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,status,start_date,join_date,liveness,unique-contributors,new-commits-last-30d,min-go-version,category,subcategory
sealerio/sealer,1958,14,8,2,0,7.150,3,48,959,75,Go,false,63,Sandbox,2022-04-26,2022-04-26,27.000,0,0,1.17,App Definition and Development,Application Definition & Image Build
dapr/dapr,22719,191,78,48,9,8.407,0,1,1640,253,Go,false,75,Incubating,2021-11-09,2021-11-09,100.000,21,101,1.21,App Definition and Development,Application Definition & Image Build
serverlessworkflow/specification,654,14,9,4,1,21.407,0,1,1308,40,TypeScript,false,0,Sandbox,2020-07-14,2020-07-14,73.000,2,8,,App Definition and Development,Application Definition & Image Build
devfile/api,211,9,1,0,0,42.654,12,1,1470,31,Go,false,13,Sandbox,2022-01-11,2022-01-11,49.000,2,3,1.19,App Definition and Development,Application Definition & Image Build
devspace-cloud/devspace-cloud,103,3,0,0,0,29.126,14,1228,1611,3,Open Policy Agent,false,0,Sandbox,2022-12-13,2022-12-13,4.000,0,0,,App Definition and Development,Application Definition & Image Build
telepresenceio/telepresence,6124,53,13,7,2,8.654,0,1,2485,82,Go,false,61,Sandbox,2018-05-15,2018-05-15,85.000,2,52,1.21.1,App Definition and Development,Application Definition & Image Build
helm/helm,25329,138,57,27,6,5.448,0,1,2992,655,Go,false,43,Graduated,2018-06-01,2018-06-01,100.000,3,13,1.19,App Definition and Development,Application Definition & Image Build
vscode-kubernetes-tools/vscode-kubernetes-tools,640,7,3,2,0,10.938,1,76,2333,119,TypeScript,false,1,Sandbox,2021-11-09,2021-11-09,12.000,0,0,1.16,App Definition and Development,Application Definition & Image Build
ko-build/ko,6767,79,31,14,1,11.674,0,0,1729,82,Go,false,17,Sandbox,2022-12-14,2022-12-14,100.000,6,32,1.21,App Definition and Development,Application Definition & Image Build
argoproj/argo-cd,14896,275,128,62,5,18.461,0,0,2134,1225,Go,false,103,Graduated,2020-03-26,2020-03-26,100.000,50,55,1.21,App Definition and Development,Continuous Integration & Delivery
